requestSessionType,requestJudgeType
ADHOC,AC
ADHOC,ADM
ADHOC,ANCRA
ADHOC,CHC
ADHOC,CHCBCC
ADHOC,CIVATH
ADHOC,COMM
ADHOC,COMP
ADHOC,CTOP
ADHOC,DJCC
ADHOC,FINRMA
ADHOC,FROCC
ADHOC,MERCH
ADHOC,PATENT
ADHOC,PLAN
ADHOC,PRVLAW
ADHOC,PUBLAW
ADHOC,S9APPTC
ADHOC,S9APPTQ
ADHOC,S9CHC
AEBL,AC
AEBL,ADM
AEBL,ANCRA
AEBL,CHC
AEBL,CHCBCC
AEBL,CIVATH
AEBL,COMM
AEBL,COMP
AEBL,CTOP
AEBL,DJCC
AEBL,FINRMA
AEBL,FROCC
AEBL,MERCH
AEBL,PATENT
AEBL,PLAN
AEBL,PRVLAW
AEBL,PUBLAW
AEBL,S9APPTC
AEBL,S9APPTQ
AEBL,S9CHC
BBL,AC
BBL,ADM
BBL,ANCRA
BBL,CHC
BBL,CHCBCC
BBL,CIVATH
BBL,COMM
BBL,COMP
BBL,CTOP
BBL,DJCC
BBL,FINRMA
BBL,FROCC
BBL,MERCH
BBL,PATENT
BBL,PLAN
BBL,PRVLAW
BBL,PUBLAW
BBL,S9APPTC
BBL,S9APPTQ
BBL,S9CHC
BL,AC
BL,ADM
BBL,ANCRA
BL,CHC
BL,CHCBCC
BL,CIVATH
BL,COMM
BL,COMP
BL,CTOP
BL,DJCC
BL,FINRMA
BL,FROCC
BL,MERCH
BL,PATENT
BL,PLAN
BL,PRVLAW
BL,PUBLAW
BL,S9APPTC
BL,S9APPTQ
BL,S9CHC
CCCMC,AC
CCCMC,ADM
CCCMC,ANCRA
CCCMC,CHC
CCCMC,CHCBCC
CCCMC,CIVATH
CCCMC,COMM
CCCMC,COMP
CCCMC,CTOP
CCCMC,DJCC
CCCMC,FINRMA
CCCMC,FROCC
CCCMC,MERCH
CCCMC,PATENT
CCCMC,PLAN
CCCMC,PRVLAW
CCCMC,PUBLAW
CCCMC,S9APPTC
CCCMC,S9APPTQ
CCCMC,S9CHC
CJ,AC
CJ,ADM
CJ,ANCRA
CJ,CHC
CJ,CHCBCC
CJ,CIVATH
CJ,COMM
CJ,COMP
CJ,CTOP
CJ,DJCC
CJ,FINRMA
CJ,FROCC
CJ,MERCH
CJ,PATENT
CJ,PLAN
CJ,PRVLAW
